user_path_Compressed_no_Counts,is_frustrated,frustrated_reasons
Page Unavailable~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home,Y,price_shock|technical_issue
Home~product detail page~Store search results~product detail page~Home~product detail page,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method,Y,payment_friction
Home~product detail page~Shopping Cart~Home~product detail page~Shopping Cart~Store search results~Shopping Cart~product detail page,Y,form_friction|indecision
product detail page~Home~Store search results~Home,N,
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Home~Shopping Cart~Checkout Your Information,Y,form_friction
Home~product detail page~Home~Clearance Sale~Store search results~Home~product detail page~Home,N,
Home~Store search results~Home~product detail page~Home~product detail page,N,
product detail page~Shopping Cart~product detail page,N,
Home~product detail page~The Google Merchandise Store - Log In~Home,N,
Home~product detail page~Shipping Information~product detail page,N,
Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Home~Store search results~product detail page~Store search results~Home,N,
product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page,N,
Home~product detail page~Store search results~Home,N,
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Home~product detail page~Home~Shopping Cart~product detail page~Home,Y,indecision
Home~product detail page~Shopping Cart~product detail page~Home~product detail page~Home,Y,indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - My Account~product detail page~Store search results~product detail page~Shopping Cart~Checkout Your Information~The Google Merchandise Store - My Account~Home~The Google Merchandise Store - Log In~Home,Y,form_friction|indecision
product detail page~Shipping Information~Home~Return Policy~Home~Frequently Asked Questions~Home,N,
Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Home~product detail page~Home~product detail page~Store search results~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home,Y,indecision
Home~Store search results~product detail page~Home,N,
Home~product detail page~Store search results~product detail page,N,
product detail page~Home~product detail page~Home~product detail page~Home~product detail page,Y,indecision
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,N,
Home~product detail page~Store search results,N,
Home~product detail page~Home~Shopping Cart~Home~The Google Merchandise Store - Log In,Y,price_shock
Home~product detail page~Home~Shopping Cart,N,
Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~Shopping Cart~product detail page,Y,indecision
Home~product detail page~Home~product detail page~Shopping Cart,N,
Home~Spring Sale~product detail page,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method~Checkout Review~Payment Method~Checkout Review,Y,account_blocked|payment_friction
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method~Checkout Review~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review,Y,account_blocked|form_friction|payment_friction
The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~Payment Method~Checkout Review~Payment Method~Checkout Review~Payment Method~Checkout Review~Payment Method~Checkout Review~Payment Method~Checkout Review~Payment Method~Checkout Review,Y,payment_friction
Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home,Y,indecision
product detail page~Home~product detail page~Home~product detail page~Home,N,
Home~product detail page~Clearance Sale~product detail page~Shopping Cart,N,
Home~product detail page~The Google Merchandise Store - Log In,N,
The Google Merchandise Store - Log In~Store search results~product detail page~The Google Merchandise Store - Log In~Store search results,Y,account_blocked
Page Unavailable~product detail page~Page Unavailable,Y,technical_issue
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shopping Cart,Y,form_friction
product detail page~Shipping Information,N,
Home~product detail page~Store search results~Home~product detail page~Home~product detail page~Home,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Payment Method,N,
Home~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - Log In~Home~Store search results~Shopping Cart~Store search results~Shopping Cart~Store search results~Shopping Cart~Checkout Your Information~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Home~Store search results~Shopping Cart~Store search results~product detail page~Home~Store search results~Your Wishlist~product detail page~Home~Store search results~Shopping Cart~Store search results~product detail page~Shopping Cart,Y,account_blocked|form_friction|indecision|search_struggle
Shopping Cart~The Google Merchandise Store - Log In~Home~Store search results~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Shopping Cart~product detail page~Store search results~Shopping Cart~Home~Store search results~product detail page~Shopping Cart,Y,indecision
Page Unavailable~Home~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision|technical_issue
product detail page~Shopping Cart,Y,price_shock
Home~Store search results~Home~product detail page,N,
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~product detail page~Home,Y,price_shock
product detail page~Home~product detail page~Home,N,
The Google Merchandise Store - Log In~Home~product detail page~The Google Merchandise Store - My Account,N,
Home~Return Policy~Home~product detail page~Home~product detail page~Home~Return Policy~product detail page~Shipping Information,Y,indecision
Home~product detail page~Store search results~product detail page~Home,N,
Home~Shopping Cart~product detail page,N,
Home~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In~Shopping Cart~Home~Shopping Cart~Home,Y,form_friction|indecision
Home~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~The Google Merchandise Store - Log In~Home~Store search results~product detail page~Store search results,Y,account_blocked
Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart,Y,form_friction|indecision|payment_friction
product detail page~Store search results~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page,Y,price_shock
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Home~product detail page,Y,price_shock
Home~Frequently Asked Questions~product detail page,N,
product detail page~Page Unavailable,Y,technical_issue
Home~product detail page~Store search results~product detail page~Store search results~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Home~Shopping Cart~Checkout Your Information~Payment Method,N,
Home~product detail page~Shopping Cart~Checkout Your Information,Y,price_shock
Home~product detail page~Home~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method,Y,payment_friction
product detail page~Shipping Information~Frequently Asked Questions~product detail page,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,price_shock
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information,Y,price_shock
Home~The Google Merchandise Store - Log In~product detail page~Home,N,
Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page,Y,indecision
product detail page~Store search results~product detail page~Store search results~product detail page,N,
product detail page~Home~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page,Y,price_shock
The Google Merchandise Store - Log In~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart,Y,form_friction
Page Unavailable~product detail page~Home~product detail page,Y,technical_issue
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Payment Method,Y,payment_friction
Home~Store search results~product detail page~Store search results~product detail page,N,
Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method,Y,payment_friction
product detail page~Page Unavailable~product detail page~Shopping Cart~Home~product detail page,Y,price_shock|technical_issue
Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page,Y,indecision
Home~Shopping Cart~product detail page~Shopping Cart,N,
Store search results~product detail page,N,
Store search results~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page,Y,indecision
product detail page~Store search results~product detail page~Shopping Cart~Home~Store search results~product detail page~Shopping Cart~Store search results~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Page Unavailable~Home~product detail page,Y,technical_issue
product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,price_shock
Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart,Y,form_friction|indecision
Home~The Google Merchandise Store - Log In~Home~product detail page~Home,N,
product detail page~The Google Merchandise Store - Log In~Home,N,
product detail page~Store search results~product detail page,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,price_shock
Home~product detail page~Page Unavailable~product detail page~Home~Page Unavailable~Home~Page Unavailable~product detail page,Y,technical_issue
product detail page~Page Unavailable~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method~Shopping Cart,Y,payment_friction|technical_issue
Home~product detail page~Home~product detail page~Home~Store search results~product detail page,N,
Page Unavailable~Shopping Cart~Home~The Google Merchandise Store - Log In~Home~product detail page,Y,technical_issue
Home~product detail page~Home~product detail page~Home~product detail page~Page Unavailable~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Page Unavailable~product detail page~Page Unavailable~product detail page~Home~product detail page~Page Unavailable~product detail page,Y,indecision|technical_issue
Home~product detail page~Shopping Cart~Home~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information,Y,form_friction|price_shock
product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home,Y,indecision
Home~Frequently Asked Questions~product detail page~The Google Merchandise Store - Log In~Home,N,
Home~product detail page~Spring Sale~product detail page,N,
Home~Store search results~Home~Store search results~product detail page~Store search results~Home~Store search results~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page,Y,indecision|search_struggle
Home~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - My Account~product detail page,N,
product detail page~Home~Shopping Cart~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Page Unavailable~product detail page~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~Frequently Asked Questions~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method,Y,indecision|payment_friction|technical_issue
Home~Shopping Cart~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method,Y,payment_friction
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart,Y,form_friction|indecision
Home~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method~Home~Checkout Your Information~Payment Method,Y,form_friction|indecision|payment_friction
Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart,N,
Home~product detail page~Store search results~The Google Merchandise Store - Log In~product detail page~Home~product detail page~Home,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page,Y,price_shock
Home~product detail page~Shopping Cart~Checkout Your Information~product detail page~Shopping Cart~Home,Y,form_friction|price_shock
Home~Store search results~Shopping Cart~Store search results~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Store search results~product detail page~Home~Store search results~Shopping Cart~Store search results~Home~Shopping Cart~The Google Merchandise Store - Log In,Y,indecision|search_struggle
Home~product detail page~Shopping Cart~Frequently Asked Questions,Y,price_shock
product detail page~The Google Merchandise Store - Log In~Home~Frequently Asked Questions~product detail page,N,
Home~Shopping Cart~Home~product detail page,N,
Home~Shopping Cart~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,form_friction
Page Unavailable~The Google Merchandise Store - Log In~Home~product detail page,Y,technical_issue
Home~Shopping Cart~Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Home~Shopping Cart~Home,Y,indecision
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information,N,
product detail page~Shopping Cart~Return Policy,Y,price_shock
product detail page~Shopping Cart~Shipping Information~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,form_friction
Home~product detail page~Home~Shopping Cart~Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart,Y,indecision
Home~Shopping Cart~Home~product detail page~Home,Y,price_shock
Home~Frequently Asked Questions~product detail page~Shopping Cart~Home~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,form_friction
Home~product detail page~Home~Store search results~product detail page,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~product detail page,Y,form_friction
Home~product detail page~Home~product detail page~Home~product detail page~Home~Store search results~product detail page~Shopping Cart~product detail page~Home,Y,indecision
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Store search results,Y,account_blocked|form_friction
product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~Store search results~Shopping Cart~Home~Shopping Cart,Y,form_friction|indecision
Home~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart~product detail page,Y,form_friction|indecision
Home~product detail page~Home~Shipping Information,N,
product detail page~Shopping Cart~Home~product detail page~The Google Merchandise Store - Log In~product detail page,Y,indecision
Home~product detail page~Clearance Sale~product detail page~Clearance Sale,N,
product detail page~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - My Account,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method,N,
product detail page~Store search results~product detail page~Home~product detail page~Home~product detail page,Y,indecision
Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review,Y,payment_friction
product detail page~Home~Store search results,N,
Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page~The Google Merchandise Store - My Account,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Shopping Cart~Frequently Asked Questions~product detail page~Shopping Cart~Checkout Your Information~Payment Method,Y,form_friction|payment_friction
Home~product detail page~Store search results~product detail page~Home~product detail page~Home,N,
Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home,Y,indecision
product detail page~Home~product detail page~Store search results~product detail page~Store search results~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~The Google Merchandise Store - Log In~Home~product detail page~Home~product detail page,Y,indecision
product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart,Y,form_friction|indecision
product detail page~Shipping Information~Home~product detail page~Home~product detail page,N,
The Google Merchandise Store - Log In~product detail page~Home~product detail page,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart,Y,account_blocked|form_friction
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shipping Information~The Google Merchandise Store - Log In,Y,account_blocked
Home~product detail page~Shipping Information~Terms of Use~product detail page,N,
product detail page~Shipping Information~product detail page,N,
The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - My Account~Home~The Google Merchandise Store - Log In,N,
The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In,Y,account_blocked
The Google Merchandise Store - Log In~product detail page~Frequently Asked Questions,N,
The Google Merchandise Store - Log In~product detail page~Frequently Asked Questions~product detail page~Store search results~product detail page,N,
Frequently Asked Questions~product detail page~Store search results,N,
product detail page~Home~product detail page~Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page,Y,indecision
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,form_friction|indecision
product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart~product detail page,Y,form_friction|indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method,N,
product detail page~Store search results~Shipping Information~product detail page,N,
Home~product detail page~Home~Store search results~Home,N,
Page Unavailable~product detail page~Shopping Cart,Y,technical_issue
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method,Y,form_friction|indecision
Home~Store search results~product detail page~Home~Store search results~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home,Y,indecision
Home~Store search results~Home~product detail page~Store search results~Shopping Cart~Store search results~product detail page~Store search results~product detail page~Home~Store search results~product detail page~Home~Shopping Cart,Y,indecision
product detail page~Home~Store search results~Shopping Cart~product detail page~Home,N,
Home~Store search results~product detail page~Store search results~product detail page~Home~Store search results,N,
Shopping Cart~Store search results~The Google Merchandise Store - Log In~Store search results~Home~Store search results~Shopping Cart~Home~product detail page~Home,Y,price_shock|search_struggle
Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~Checkout Your Information~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review,Y,form_friction
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Shopping Cart~The Google Merchandise Store - My Account~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Home,Y,form_friction|indecision
Home~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Home~Shopping Cart,Y,indecision
product detail page~Shopping Cart~product detail page~Store search results~product detail page,Y,indecision
product detail page~Store search results~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Shopping Cart,Y,form_friction
Home~product detail page~Shopping Cart~Home~Shopping Cart~The Google Merchandise Store - My Account~Shopping Cart~Frequently Asked Questions~Home~Frequently Asked Questions~Shopping Cart,Y,indecision
product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page,Y,indecision
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Shopping Cart~product detail page,Y,indecision
Home~Page Unavailable~product detail page,Y,technical_issue
product detail page~Home~Frequently Asked Questions~product detail page,N,
Home~The Google Merchandise Store - Log In~product detail page,N,
product detail page~Store search results~Shopping Cart,N,
Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,indecision
Home~product detail page~Home~product detail page~Store search results~product detail page~Home~product detail page~Home,Y,indecision
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home,Y,price_shock
10 Home~product detail page,N,
15 Home~product detail page,N,
23 Home~product detail page,N,
Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Shopping Cart~Home~product detail page~Shopping Cart~Home~Shopping Cart~Home,Y,indecision
product detail page~The Google Merchandise Store - Log In~product detail page,N,
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Store search results~Shopping Cart~product detail page~Shopping Cart,Y,indecision
product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Home~product detail page~Store search results~Shopping Cart~Store search results~Shopping Cart~product detail page~Shopping Cart~Return Policy,Y,indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Shopping Cart,Y,form_friction|payment_friction
Home~Page Unavailable~product detail page~Page Unavailable,Y,technical_issue
product detail page~Frequently Asked Questions~product detail page~Terms of Use~Frequently Asked Questions,N,
Home~product detail page~Shipping Information~product detail page~Home,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,account_blocked
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,N,
product detail page~The Google Merchandise Store - Log In~product detail page~Spring Sale~The Google Merchandise Store - Log In~Home~Spring Sale~product detail page~Home~product detail page,Y,account_blocked|indecision
Home~Spring Sale~product detail page~Spring Sale~product detail page~Frequently Asked Questions~Shopping Cart~product detail page~Home~product detail page,Y,indecision
Home~product detail page~Shopping Cart~Home~Shopping Cart,Y,indecision
Home~Shopping Cart~Home~product detail page~Home~product detail page~Home~Shopping Cart,Y,indecision
Home~product detail page~Home~product detail page~Shopping Cart~Home~Shopping Cart,Y,indecision
Home~product detail page~Shopping Cart~Checkout Your Information~product detail page,Y,price_shock
Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Shopping Cart~Checkout Your Information~Shipping Information~Return Policy,Y,form_friction|payment_friction
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Shipping Information~Return Policy~Frequently Asked Questions,Y,form_friction|indecision
Frequently Asked Questions~product detail page~Shopping Cart~product detail page~The Google Merchandise Store - Log In~product detail page~Frequently Asked Questions~Return Policy~Shipping Information,Y,indecision
Page Unavailable~product detail page~Page Unavailable~product detail page,Y,technical_issue
product detail page~Page Unavailable~product detail page,Y,technical_issue
Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Home~product detail page~Home~product detail page~Shopping Cart,Y,indecision
Home~The Google Merchandise Store - Log In~product detail page~Shipping Information,N,
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,form_friction|indecision
The Google Merchandise Store - Log In~The Google Merchandise Store - My Account~product detail page,N,
Home~product detail page~The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In~Home~product detail page,Y,account_blocked
Home~product detail page~Home~Store search results~Home~product detail page,N,
Shopping Cart~Home~Store search results~product detail page~Shopping Cart~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Store search results~product detail page~Shopping Cart~Checkout Your Information,Y,form_friction|indecision
product detail page~Store search results~Home~product detail page,N,
Home~The Google Merchandise Store - Log In~Home~product detail page~Store search results~product detail page~Store search results~product detail page,N,
product detail page~Home~The Google Merchandise Store - Log In~Home,N,
Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~product detail page~Shopping Cart~Home~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Shopping Cart,Y,form_friction|indecision|payment_friction
Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page~Home~product detail page~Home~product detail page,Y,indecision
Home~Shopping Cart~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Shopping Cart~product detail page~Shopping Cart~Home~product detail page~Home,Y,form_friction|indecision
Home~Clearance Sale~product detail page~Clearance Sale~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Home,Y,price_shock
Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~product detail page,Y,indecision
Page Unavailable~product detail page~Home~product detail page~Lifestyle~Page Unavailable~Lifestyle~Home~Page Unavailable~product detail page~Page Unavailable~product detail page,Y,technical_issue
Frequently Asked Questions~Home~product detail page,N,
Home~product detail page~Store search results~Shopping Cart~product detail page~Shopping Cart,Y,indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Home,Y,price_shock
Home~Frequently Asked Questions~Home~product detail page,N,
product detail page~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - My Account~The Google Merchandise Store - Log In~The Google Merchandise Store - My Account~product detail page~Home~The Google Merchandise Store - My Account~Shipping Information~Frequently Asked Questions~Shipping Information,Y,account_blocked
Home~product detail page~Home~Page Unavailable~Home,Y,technical_issue
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart,Y,form_friction
